ID,Screen/card,English source,Intended meaning,Current Kannada,Current literal meaning,Problem,Proposed Kannada display,Proposed Kannada narration,Names/numbers/acronyms preserved,Reviewer correction,Reviewer decision,Reviewer name,Review date
ui.welcome.general_display,Onboarding / welcome bubble — welcome.general_display,"Welcome.
What information would you like today?","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Welcome.
What information would you like today?","ಸ್ವಾಗತ.
ಇಂದು ನಿಮಗೆ ಯಾವ ಮಾಹಿತಿ ಬೇಕು?","Working literal gloss: Welcome.
What information would you like today?",Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,"ಸ್ವಾಗತ.
ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?",ಸ್ವಾಗತ. ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,YES,,READY_FOR_NATIVE_REVIEW,,
ui.welcome.general_narration,Onboarding / welcome bubble — welcome.general_narration,Welcome. What information would you like today?,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Welcome. What information would you like today?",ಸ್ವಾಗತ. ಇಂದು ನಿಮಗೆ ಯಾವ ಮಾಹಿತಿ ಬೇಕು?,Working literal gloss: Welcome. What information would you like today?,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ಸ್ವಾಗತ. ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,ಸ್ವಾಗತ. ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,YES,,READY_FOR_NATIVE_REVIEW,,
ui.welcome.named_display,Onboarding / welcome bubble — welcome.named_display,"{name}, welcome.
What information would you like today?","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: {name}, welcome.
What information would you like today?","{name}, ಸ್ವಾಗತ.
ಇಂದು ನಿಮಗೆ ಯಾವ ಮಾಹಿತಿ ಬೇಕು?","Working literal gloss: {name}, welcome.
What information would you like today?",Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,"{name} ಅವರೇ, ಸ್ವಾಗತ.
ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?","{name} ಅವರೇ, ಸ್ವಾಗತ. ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?",YES,,READY_FOR_NATIVE_REVIEW,,
ui.welcome.named_narration,Onboarding / welcome bubble — welcome.named_narration,"{name}, welcome. What information would you like today?","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: {name}, welcome. What information would you like today?","{name}, ಸ್ವಾಗತ. ಇಂದು ನಿಮಗೆ ಯಾವ ಮಾಹಿತಿ ಬೇಕು?","Working literal gloss: {name}, welcome. What information would you like today?",Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,"{name} ಅವರೇ, ಸ್ವಾಗತ. ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?","{name} ಅವರೇ, ಸ್ವಾಗತ. ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?",YES,,READY_FOR_NATIVE_REVIEW,,
ui.welcome.name_prompt,Onboarding / welcome bubble — welcome.name_prompt,Please tell me your preferred name.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Please tell me your preferred name.",ದಯವಿಟ್ಟು ನಿಮ್ಮ ಹೆಸರನ್ನು ತಿಳಿಸಿ.,Please tell me your name.,Drops the meaning of preferred / what the visitor should be called.,ದಯವಿಟ್ಟು ನಿಮ್ಮನ್ನು ಯಾವ ಹೆಸರಿನಿಂದ ಕರೆಯಬೇಕೆಂದು ತಿಳಿಸಿ.,ದಯವಿಟ್ಟು ನಿಮ್ಮನ್ನು ಯಾವ ಹೆಸರಿನಿಂದ ಕರೆಯಬೇಕೆಂದು ತಿಳಿಸಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.language.select,Language gate — language.select,Select a language.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Select a language.",ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,Working literal gloss: Select a language.,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ದಯವಿಟ್ಟು ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,ದಯವಿಟ್ಟು ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.language.required,Language gate — language.required,Please select a language to continue.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Please select a language to continue.",ಮುಂದುವರಿಯಲು ದಯವಿಟ್ಟು ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,Working literal gloss: Please select a language to continue.,No specific defect established by desk review; native-human sentence approval is still absent.,ಮುಂದುವರಿಯಲು ದಯವಿಟ್ಟು ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,ಮುಂದುವರಿಯಲು ದಯವಿಟ್ಟು ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.status.listening,Chat status / orb — status.listening,Listening…,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Listening…",ಆಲಿಸುತ್ತಿದ್ದೇನೆ…,Working literal gloss: Listening…,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ನಿಮ್ಮ ಮಾತನ್ನು ಆಲಿಸುತ್ತಿದ್ದೇನೆ…,ನಿಮ್ಮ ಮಾತನ್ನು ಆಲಿಸುತ್ತಿದ್ದೇನೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.status.processing,Chat status / orb — status.processing,Processing your request…,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Processing your request…",ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದ್ದೇನೆ…,Working literal gloss: Processing your request…,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದ್ದೇನೆ…,ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದ್ದೇನೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
ui.status.thinking,Chat status / orb — status.thinking,CLARA is thinking…,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: CLARA is thinking…",CLARA ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸುತ್ತಿದೆ…,Working literal gloss: CLARA is thinking…,Sentence-level redraft is proposed because the current wording has no native-human approval and may be unnatural in context.,CLARA ನಿಮ್ಮ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸುತ್ತಿದೆ…,CLARA ನಿಮ್ಮ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸುತ್ತಿದೆ.,YES,,READY_FOR_NATIVE_REVIEW,,
