ID,Source file and JSON path,Group,Exact screen/card,English source,Complete intended meaning,Current Kannada,Literal meaning of current Kannada,Missing meaning,Added meaning,Grammar problem,Spelling problem,Word-order problem,Register problem,Punctuation problem,Fragment composition,Display/narration/both,Runtime consumer,Proposed complete Kannada display,Proposed complete Kannada narration,Names/numbers/acronyms preserved,Human approval status,Defective,Reviewer correction,Reviewer decision,Reviewer name,Review date
ui.welcome.general_display,backend/data/locales/ui.json#kn.welcome.general_display,1. Core UI,Onboarding / welcome bubble — welcome.general_display,"Welcome.
What information would you like today?","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Welcome.
What information would you like today?","ಸ್ವಾಗತ.
ಇಂದು ನಿಮಗೆ ಯಾವ ಮಾಹಿತಿ ಬೇಕು?","Working literal gloss: Welcome.
What information would you like today?",No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,backend.services.greetings → backend.app.main WebSocket → ChatScreen → AnimatedAiMessage; TTS cache,"ಸ್ವಾಗತ.
ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?",ಸ್ವಾಗತ. ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.welcome.general_narration,backend/data/locales/ui.json#kn.welcome.general_narration,1. Core UI,Onboarding / welcome bubble — welcome.general_narration,Welcome. What information would you like today?,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Welcome. What information would you like today?",ಸ್ವಾಗತ. ಇಂದು ನಿಮಗೆ ಯಾವ ಮಾಹಿತಿ ಬೇಕು?,Working literal gloss: Welcome. What information would you like today?,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,backend.services.greetings → backend.app.main WebSocket → ChatScreen → AnimatedAiMessage; TTS cache,ಸ್ವಾಗತ. ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,ಸ್ವಾಗತ. ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.welcome.named_display,backend/data/locales/ui.json#kn.welcome.named_display,1. Core UI,Onboarding / welcome bubble — welcome.named_display,"{name}, welcome.
What information would you like today?","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: {name}, welcome.
What information would you like today?","{name}, ಸ್ವಾಗತ.
ಇಂದು ನಿಮಗೆ ಯಾವ ಮಾಹಿತಿ ಬೇಕು?","Working literal gloss: {name}, welcome.
What information would you like today?",No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,backend.services.greetings → backend.app.main WebSocket → ChatScreen → AnimatedAiMessage; TTS cache,"{name} ಅವರೇ, ಸ್ವಾಗತ.
ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?","{name} ಅವರೇ, ಸ್ವಾಗತ. ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?",YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.welcome.named_narration,backend/data/locales/ui.json#kn.welcome.named_narration,1. Core UI,Onboarding / welcome bubble — welcome.named_narration,"{name}, welcome. What information would you like today?","Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: {name}, welcome. What information would you like today?","{name}, ಸ್ವಾಗತ. ಇಂದು ನಿಮಗೆ ಯಾವ ಮಾಹಿತಿ ಬೇಕು?","Working literal gloss: {name}, welcome. What information would you like today?",No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,backend.services.greetings → backend.app.main WebSocket → ChatScreen → AnimatedAiMessage; TTS cache,"{name} ಅವರೇ, ಸ್ವಾಗತ. ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?","{name} ಅವರೇ, ಸ್ವಾಗತ. ಇಂದು ನೀವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತೀರಿ?",YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.welcome.name_prompt,backend/data/locales/ui.json#kn.welcome.name_prompt,1. Core UI,Onboarding / welcome bubble — welcome.name_prompt,Please tell me your preferred name.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Please tell me your preferred name.",ದಯವಿಟ್ಟು ನಿಮ್ಮ ಹೆಸರನ್ನು ತಿಳಿಸಿ.,Please tell me your name.,It does not say which name the visitor wants CLARA to use / what the visitor should be called.,No added fact established by desk review; native reviewer must verify register and implications.,"Grammatically understandable, but semantically incomplete for this onboarding question.",No specific defect established; native review required.,"The current sentence has natural basic order, but lacks the required ‘call you by’ clause.","Polite, but insufficiently specific for respectful kiosk onboarding.",Full stop is readable and TTS-safe.,None; stored as a complete source value.,both,backend.services.greetings → backend.app.main WebSocket → ChatScreen → AnimatedAiMessage; TTS cache,ದಯವಿಟ್ಟು ನಿಮ್ಮನ್ನು ಯಾವ ಹೆಸರಿನಿಂದ ಕರೆಯಬೇಕೆಂದು ತಿಳಿಸಿ.,ದಯವಿಟ್ಟು ನಿಮ್ಮನ್ನು ಯಾವ ಹೆಸರಿನಿಂದ ಕರೆಯಬೇಕೆಂದು ತಿಳಿಸಿ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.language.select,backend/data/locales/ui.json#kn.language.select,1. Core UI,Language gate — language.select,Select a language.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Select a language.",ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,Working literal gloss: Select a language.,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy/LanguageContext → ChatScreen language gate,ದಯವಿಟ್ಟು ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,ದಯವಿಟ್ಟು ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.language.required,backend/data/locales/ui.json#kn.language.required,1. Core UI,Language gate — language.required,Please select a language to continue.,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Please select a language to continue.",ಮುಂದುವರಿಯಲು ದಯವಿಟ್ಟು ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,Working literal gloss: Please select a language to continue.,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy/LanguageContext → ChatScreen language gate,ಮುಂದುವರಿಯಲು ದಯವಿಟ್ಟು ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,ಮುಂದುವರಿಯಲು ದಯವಿಟ್ಟು ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.,YES,READY_FOR_NATIVE_REVIEW,NO,,,,
ui.status.listening,backend/data/locales/ui.json#kn.status.listening,1. Core UI,Chat status / orb — status.listening,Listening…,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Listening…",ಆಲಿಸುತ್ತಿದ್ದೇನೆ…,Working literal gloss: Listening…,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,ನಿಮ್ಮ ಮಾತನ್ನು ಆಲಿಸುತ್ತಿದ್ದೇನೆ…,ನಿಮ್ಮ ಮಾತನ್ನು ಆಲಿಸುತ್ತಿದ್ದೇನೆ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.status.processing,backend/data/locales/ui.json#kn.status.processing,1. Core UI,Chat status / orb — status.processing,Processing your request…,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: Processing your request…",ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದ್ದೇನೆ…,Working literal gloss: Processing your request…,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದ್ದೇನೆ…,ನಿಮ್ಮ ವಿನಂತಿಯನ್ನು ಪರಿಶೀಲಿಸುತ್ತಿದ್ದೇನೆ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
ui.status.thinking,backend/data/locales/ui.json#kn.status.thinking,1. Core UI,Chat status / orb — status.thinking,CLARA is thinking…,"Communicate the complete English source meaning without omitting qualifiers, actions, names, numbers, fees, or acronyms: CLARA is thinking…",CLARA ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸುತ್ತಿದೆ…,Working literal gloss: CLARA is thinking…,No omission established by desk review; native reviewer must verify every clause.,No added fact established by desk review; native reviewer must verify register and implications.,The sentence has been redrafted as a complete candidate; native reviewer must validate grammar.,No specific defect established; native review required.,Candidate uses revised Kannada ordering; native reviewer must compare it with the current construction.,Candidate targets consistent respectful kiosk language; approval is pending.,No specific defect established; native review required.,None; stored as a complete source value.,both,frontend uiCopy → App/ChatScreen/ChatOrbControl,CLARA ನಿಮ್ಮ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸುತ್ತಿದೆ…,CLARA ನಿಮ್ಮ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸುತ್ತಿದೆ.,YES,READY_FOR_NATIVE_REVIEW,YES,,,,
